symbol,prevClose,open,week52High,week52HighDate,vwap,timestamp
GOLDBEES,105.69,105.2,108.69,17-Oct-2025,101.8,2025-10-23T19:09:45.548287
HDFCGOLD,109.14,107.0,112.8,17-Oct-2025,105.38,2025-10-23T19:09:45.548287
SETFGOLD,108.89,105.58,112.23,21-Oct-2025,104.85,2025-10-23T19:09:45.548287
GOLDIETF,109.17,106.53,114.0,21-Oct-2025,104.85,2025-10-23T19:09:45.548287
GOLD1,106.68,109.88,110.0,20-Oct-2025,103.13,2025-10-23T19:09:45.548287
AXISGOLD,106.54,103.87,109.92,17-Oct-2025,102.35,2025-10-23T19:09:45.548287
GOLDSHARE,107.35,110.0,110.9,21-Oct-2025,103.15,2025-10-23T19:09:45.548287
BSLGOLDETF,112.05,115.41,121.47,01-Oct-2025,107.82,2025-10-23T19:09:45.548287
TATAGOLD,12.57,12.4,13.48,15-Oct-2025,11.93,2025-10-23T19:09:45.548287
GOLD360,123.65,120.55,139.9,09-Oct-2025,122.1,2025-10-23T19:09:45.548287
GOLDCASE,20.08,19.58,21.31,20-Oct-2025,19.33,2025-10-23T19:09:45.548287
SILVERBEES,145.3,142.99,180.0,15-Oct-2025,141.9,2025-10-23T19:09:45.548287
SILVERIETF,150.95,149.8,190.0,14-Oct-2025,148.55,2025-10-23T19:09:45.548287
HDFCSILVER,145.04,144.0,187.1,14-Oct-2025,140.91,2025-10-23T19:09:45.548287
SILVER1,146.83,145.0,178.98,14-Oct-2025,142.25,2025-10-23T19:09:45.548287
SBISILVER,147.64,152.07,180.0,15-Oct-2025,147.1,2025-10-23T19:09:45.548287
SILVER,151.07,141.35,191.65,15-Oct-2025,145.19,2025-10-23T19:09:45.548287
AXISILVER,150.63,160.0,194.8,15-Oct-2025,143.95,2025-10-23T19:09:45.548287
TATSILV,14.89,15.26,18.33,16-Oct-2025,14.36,2025-10-23T19:09:45.548287
SILVERCASE,15.48,15.88,19.7,14-Oct-2025,15.0,2025-10-23T19:09:45.548287
